fold,mae
0,0.050498539183216895
1,0.015188334688731764
2,0.025179196106388746
3,0.08166701020722905
4,0.1931880237971495
5,0.02243900483733985
6,0.1148089196100821
7,0.09177623591123746
8,0.017034956096472154
9,0.00794707340825429
10,0.16042940460604854
11,0.021679344835367098
12,0.10860772288104731
13,0.1518695177524984
14,0.1828925209201393
15,0.07897972887394283
16,0.09926574355085854
17,0.1469450763860165
18,0.13612867597817402
19,0.09814292338783215
20,0.011341599010458336
21,0.0979768865639633
22,0.1302868662153262
23,0.09897689154212219
24,0.027110321931680004
25,0.029973388154597713
26,0.09096044965844952
27,0.1940359248983331
