feature,importance,cumulative_importance
original_firstorder_Kurtosis_t48,0.0533877094474027,0.0533877094474027
original_shape2D_Sphericity_delta_t24_t48,0.0492230045616823,0.102610714009085
original_firstorder_Kurtosis_mean,0.0490176716511595,0.1516283856602445
original_shape2D_MajorAxisLength_mean,0.0483167492750523,0.1999451349352968
original_firstorder_Skewness_std,0.0349115615234978,0.23485669645879462
original_shape2D_MeshSurface_t72,0.0297032053901326,0.2645599018489272
original_shape2D_MajorAxisLength_t24,0.0296729801412411,0.2942328819901683
original_shape2D_Elongation_slope_t48_t72,0.0240189216154362,0.31825180360560446
original_shape2D_Sphericity_slope_t24_t48,0.0226335324020823,0.3408853360076868
original_shape2D_Sphericity_std,0.0178597364367461,0.3587450724444329
original_ngtdm_Contrast_t0,0.0168807740809982,0.3756258465254311
original_glrlm_LongRunEmphasis_std,0.0163674097808633,0.3919932563062944
original_firstorder_Energy_t0,0.0157197299562999,0.4077129862625943
original_firstorder_Kurtosis_t72,0.0156225497215708,0.42333553598416507
original_firstorder_MeanAbsoluteDeviation_delta,0.0143862410918926,0.4377217770760577
original_firstorder_InterquartileRange_t72,0.0142279242561124,0.4519497013321701
original_firstorder_10Percentile_t24,0.014197159812957,0.4661468611451271
original_firstorder_90Percentile_t0,0.0140796349527262,0.4802264960978533
original_glrlm_LongRunEmphasis_slope,0.0138116947692103,0.4940381908670636
original_gldm_DependenceVariance_t0,0.0136409015747028,0.5076790924417663
original_ngtdm_Contrast_slope,0.0130395846919764,0.5207186771337428
original_gldm_SmallDependenceHighGrayLevelEmphasis_t0,0.0125871599001813,0.5333058370339241
original_glrlm_RunEntropy_t24,0.0124307407061612,0.5457365777400853
original_firstorder_90Percentile_slope_t24_t48,0.0108938858041519,0.5566304635442372
original_glrlm_LongRunEmphasis_t0,0.0103740012581478,0.567004464802385
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,0.0097838316767476,0.5767882964791325
original_shape2D_Sphericity_t48,0.009605653396441,0.5863939498755736
original_shape2D_MinorAxisLength_mean,0.0092098074261896,0.5956037573017632
original_firstorder_InterquartileRange_delta_t0_t24,0.0089042595071128,0.604508016808876
original_shape2D_Elongation_t0,0.0085596357004974,0.6130676525093735
original_shape2D_Elongation_std,0.0083915730741119,0.6214592255834853
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta,0.0083032539852926,0.629762479568778
original_firstorder_Maximum_t24,0.0083016777144063,0.6380641572831842
original_glrlm_LongRunEmphasis_t24,0.0080725641576798,0.646136721440864
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta,0.0078121411450615,0.6539488625859254
original_shape2D_Elongation_t72,0.0077122017388686,0.661661064324794
original_shape2D_MajorAxisLength_t0,0.007669932859741,0.669330997184535
original_firstorder_Skewness_mean,0.0076507024953824,0.6769816996799174
original_shape2D_MinorAxisLength_t72,0.0076392160841707,0.6846209157640881
original_gldm_DependenceNonUniformityNormalized_t0,0.0075832418928317,0.6922041576569198
original_shape2D_Elongation_mean,0.0075579204582327,0.6997620781151525
original_firstorder_Kurtosis_slope_t0_t24,0.0074069667220315,0.7071690448371839
original_shape2D_Perimeter_slope_t48_t72,0.0072779485733074,0.7144469934104913
original_shape2D_Elongation_slope_t0_t24,0.0072753935120742,0.7217223869225655
original_gldm_DependenceVariance_delta,0.0072537025185122,0.7289760894410777
original_shape2D_PerimeterSurfaceRatio_delta,0.0071438913738921,0.7361199808149699
original_firstorder_Kurtosis_std,0.0069170458869057,0.7430370267018755
original_glrlm_RunEntropy_std,0.0066236640354695,0.7496606907373451
original_firstorder_Maximum_slope_t0_t24,0.006598498007071,0.7562591887444161
original_firstorder_InterquartileRange_slope_t0_t24,0.0065811215931566,0.7628403103375727
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t0_t24,0.0064512737468481,0.7692915840844208
original_glrlm_RunLengthNonUniformityNormalized_t0,0.0061717041442185,0.7754632882286393
original_firstorder_Kurtosis_t24,0.0059033373470119,0.7813666255756512
original_shape2D_MajorAxisLength_slope_t0_t24,0.0057096253197249,0.787076250895376
original_firstorder_MeanAbsoluteDeviation_slope,0.0056119250161006,0.7926881759114767
original_firstorder_Skewness_slope_t48_t72,0.0051124550298374,0.797800630941314
