fold,best_k,best_mae
0,9,0.03475301132900532
1,270,0.010111469341930468
2,10,0.005750730804577886
3,13,0.06059744583882787
4,3,0.16050404268049467
5,2,0.000603663154485401
6,3,0.0787289125700169
7,37,0.08756279582287285
8,113,0.002131790029256564
9,285,9.129339741786868e-06
10,2,0.13142758843284108
11,117,9.690573209375497e-06
12,6,0.044605397251164525
13,3,0.12414225962659864
14,4,0.144772582002764
15,350,0.06283483645213045
16,4,0.0767277359346159
17,2,0.13711368712923933
18,2,0.07885375902877223
19,3,0.0763213342927147
20,221,1.9040029278771797e-05
21,1,0.04278176289387681
22,1,0.09541985420760823
23,349,0.0744388879816063
24,7,0.01815271318257261
25,6,0.0002930922284825055
26,1,0.0754834687664987
27,338,0.1759527345497266
