fold,best_k,best_r2,best_mae
0,12,0.4940290255030202,0.13428401635745152
1,17,0.45251265122010675,0.10243890386355224
2,7,0.2973645027057734,0.138887076546455
3,25,0.2937779209066408,0.11254628760257611
4,8,0.24646814395665861,0.18913539229214857
5,21,0.3845406952165661,0.11263822653779432
6,10,0.16989835561790212,0.10704694791465337
7,21,0.11217510605641678,0.16301054644876992
8,8,0.5344223489852132,0.10124544910648156
9,24,0.44146470697237583,0.11041827916734925
10,4,-0.5121226038045057,0.11785519181755678
11,5,0.3144386334056678,0.11455152107503944
12,5,0.28545744061930933,0.1628650984624708
13,9,0.5296186566187012,0.12622550244912648
14,15,0.49377390092812445,0.15058239909400586
15,14,0.26439316141535385,0.12997564139237958
16,16,0.1633014363122407,0.1791497487885497
17,5,-0.07125557055013809,0.1157090303674081
18,7,0.37683401390348903,0.16075931314801548
19,2,0.16972648552139635,0.10134924616597765
20,8,0.4357837928980248,0.11420026597208661
21,5,0.42001362958317645,0.0961001198501506
22,20,0.14648495278929785,0.07768486744353484
23,18,0.3931286273456084,0.1080371637218394
24,9,0.5254734061830495,0.07795926063370247
25,8,0.016296965003634978,0.11731379179647883
26,10,-0.2210163169225985,0.11610087912846388
27,8,0.17328607624522174,0.19595257059876292
